Gene,Sample,IP2IN
LOC4814543,Tm_H4K16AC,1.83961
LOC4814543,Tm_H4K20me3,0.848645
LOC4814543,Tm_H3K9me2,1.26696
LOC4814543,Hm_H4K20me3,0.827606
LOC4814543,Hm_H4K16AC,3.84748
LOC4802261,Tm_H3K9me2,1.03615
LOC4802261,Tm_H4K16AC,0.980363
LOC4802261,Hm_H4K16AC,1.56992
LOC4802261,Tm_H4K20me3,1.36268
LOC4802261,Hm_H3K9me2,1.1665
LOC4802261,Hm_H4K20me3,1.31122
LOC4814501,Tm_H3K9me2,0.973019
LOC4814501,Hm_H4K16AC,1.07207
LOC4814501,Tm_H4K20me3,0.599138
LOC4814501,Tm_H4K16AC,2.34155
LOC4814501,Hm_H3K9me2,0.809102
LOC4814501,Hm_H4K20me3,0.687857
LOC6902035,Tm_H3K9me2,1.19674
LOC6902035,Tm_H4K16AC,1.06339
LOC6902035,Hm_H3K9me2,1.01489
LOC6902035,Hm_H4K20me3,1.17356
LOC6902035,Tm_H4K20me3,1.65834
LOC6902035,Hm_H4K16AC,1.77018
LOC4817353,Hm_H3K9me2,1.00141
LOC4817353,Tm_H3K9me2,1.24569
LOC4817353,Tm_H4K16AC,1.07393
LOC4817353,Tm_H4K20me3,1.42921
LOC4817353,Hm_H4K16AC,1.41339
LOC4817353,Hm_H4K20me3,1.06027
LOC4816374,Tm_H4K20me3,1.29716
LOC4816374,Hm_H4K20me3,1.34429
LOC4816374,Tm_H4K16AC,0.743204
LOC4816374,Hm_H4K16AC,2.04812
LOC4816374,Hm_H3K9me2,1.22833
LOC4816374,Tm_H3K9me2,1.32726
LOC6903243,Tm_H4K20me3,0.745501
LOC6903243,Hm_H3K9me2,0.984123
LOC6903243,Tm_H3K9me2,0.878347
LOC6903243,Hm_H4K20me3,0.862149
LOC6903243,Tm_H4K16AC,1.11547
LOC6903243,Hm_H4K16AC,0.815459
LOC4802218,Hm_H4K16AC,1.33323
LOC4802218,Tm_H4K20me3,1.2472
LOC4802218,Tm_H4K16AC,0.85036
