Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC4812384,0.016760083,0.015178375,0.905632112
LOC4802718,0.09393784,0.096559236,1.027905346
LOC4813470,0.021486419,0.01959905,0.91216399
Y-linked-gene.84,0,0,1
LOC4812663,37.3556344,8.402848146,0.224941941
LOC4814156,14.6528004,4.478940876,0.30567137
LOC4813426,1.091095787,0,9.17E-07
LOC4805492,228.1274667,0.079931066,0.000350383
LOC4803906,2.526673434,0.126209151,0.049951094
LOC4805026,8.690566971,9.366860888,1.0778193
LOC4800256,33.65628637,100.8055504,2.995147691
LOC4805058,3.102403998,0.085193568,0.027460814
LOC4804559,38.00345512,17.63047169,0.463917614
LOC4801354,11.28089802,0.774188918,0.068628388
LOC4800996,64.23205311,5.232222523,0.081458138
LOC4817651,5.833124172,4.1753999,0.715808555
LOC4803819,30.38047194,29.88197029,0.98359138
